row_order,requested_concept_code,target_concept_code,concept_code,standard_concept_name,n_code_target,n_code_no_target,n_target_no_code,n_no_code_no_target,n_target_before_code,n_code_before_target
1,30082-Race-2,30082-Race-2,30082-Race-1,Race selected; White,20,385,333,45,333,385
54,30141-covid_tst_symptoms-29,30141-covid_tst_symptoms-29,30082-Race-1,Race selected; White,9,380,3,333,3,380
55,30141-covid_tst_symptoms-3,30141-covid_tst_symptoms-3,30082-Race-1,Race selected; White,11,378,13,323,13,378
56,30141-covid_tst_symptoms-30,30141-covid_tst_symptoms-30,30082-Race-1,Race selected; White,4,385,3,333,3,385
57,30141-covid_tst_symptoms-31,30141-covid_tst_symptoms-31,30082-Race-1,Race selected; White,1,388,0,336,0,388
58,30141-covid_tst_symptoms-4,30141-covid_tst_symptoms-4,30082-Race-1,Race selected; White,4,385,7,329,7,385
59,30141-covid_tst_symptoms-5,30141-covid_tst_symptoms-5,30082-Race-1,Race selected; White,20,369,15,321,15,369
60,30141-covid_tst_symptoms-6,30141-covid_tst_symptoms-6,30082-Race-1,Race selected; White,44,345,25,311,25,345
61,30141-covid_tst_symptoms-7,30141-covid_tst_symptoms-7,30082-Race-1,Race selected; White,17,372,8,328,8,372
62,30141-covid_tst_symptoms-8,30141-covid_tst_symptoms-8,30082-Race-1,Race selected; White,9,380,12,324,12,380
63,30141-covid_tst_symptoms-9,30141-covid_tst_symptoms-9,30082-Race-1,Race selected; White,10,379,10,326,10,379
64,30141-covid_tst_symptoms-998,30141-covid_tst_symptoms-998,30082-Race-1,Race selected; White,1,388,0,336,0,388
65,30147-flu_why-1,30147-flu_why-1,30082-Race-1,Race selected; White,3,386,5,331,5,386
66,30147-flu_why-3,30147-flu_why-3,30082-Race-1,Race selected; White,0,389,2,334,2,389
67,30147-flu_why-999,30147-flu_why-999,30082-Race-1,Race selected; White,0,389,2,334,2,389
68,30150-flu_tst_symptoms-1,30150-flu_tst_symptoms-1,30082-Race-1,Race selected; White,1,388,2,334,2,388
69,30150-flu_tst_symptoms-10,30150-flu_tst_symptoms-10,30082-Race-1,Race selected; White,2,387,2,334,2,387
70,30150-flu_tst_symptoms-12,30150-flu_tst_symptoms-12,30082-Race-1,Race selected; White,1,388,1,335,1,388
71,30150-flu_tst_symptoms-13,30150-flu_tst_symptoms-13,30082-Race-1,Race selected; White,0,389,1,335,1,389
72,30150-flu_tst_symptoms-15,30150-flu_tst_symptoms-15,30082-Race-1,Race selected; White,0,389,1,335,1,389
73,30150-flu_tst_symptoms-16,30150-flu_tst_symptoms-16,30082-Race-1,Race selected; White,0,389,1,335,1,389
74,30150-flu_tst_symptoms-21,30150-flu_tst_symptoms-21,30082-Race-1,Race selected; White,2,387,1,335,1,387
75,30150-flu_tst_symptoms-23,30150-flu_tst_symptoms-23,30082-Race-1,Race selected; White,1,388,0,336,0,388
76,30150-flu_tst_symptoms-3,30150-flu_tst_symptoms-3,30082-Race-1,Race selected; White,1,388,2,334,2,388
77,30150-flu_tst_symptoms-30,30150-flu_tst_symptoms-30,30082-Race-1,Race selected; White,1,388,0,336,0,388
78,30150-flu_tst_symptoms-5,30150-flu_tst_symptoms-5,30082-Race-1,Race selected; White,0,389,3,333,3,389
79,30150-flu_tst_symptoms-6,30150-flu_tst_symptoms-6,30082-Race-1,Race selected; White,3,386,5,331,5,386
80,30150-flu_tst_symptoms-7,30150-flu_tst_symptoms-7,30082-Race-1,Race selected; White,0,389,2,334,2,389
81,30150-flu_tst_symptoms-8,30150-flu_tst_symptoms-8,30082-Race-1,Race selected; White,2,387,0,336,0,387
82,30150-flu_tst_symptoms-9,30150-flu_tst_symptoms-9,30082-Race-1,Race selected; White,2,387,2,334,2,387
83,30153-Symptoms-1,30153-Symptoms-1,30082-Race-1,Race selected; White,275,114,276,60,276,114
84,30153-Symptoms-2,30153-Symptoms-2,30082-Race-1,Race selected; White,49,340,17,319,17,340
85,30153-Symptoms-3,30153-Symptoms-3,30082-Race-1,Race selected; White,50,339,33,303,33,339
86,30153-Symptoms-4,30153-Symptoms-4,30082-Race-1,Race selected; White,5,384,2,334,2,384
87,30153-Symptoms-5,30153-Symptoms-5,30082-Race-1,Race selected; White,87,302,43,293,43,302
88,30153-Symptoms-6,30153-Symptoms-6,30082-Race-1,Race selected; White,33,356,16,320,16,356
89,30153-Symptoms-999,30153-Symptoms-999,30082-Race-1,Race selected; White,3,386,2,334,2,386
90,30154-Symptoms_Resp-1,30154-Symptoms_Resp-1,30082-Race-1,Race selected; White,231,158,247,89,247,158
91,30154-Symptoms_Resp-2,30154-Symptoms_Resp-2,30082-Race-1,Race selected; White,103,286,46,290,46,286
92,30154-Symptoms_Resp-21,30154-Symptoms_Resp-21,30082-Race-1,Race selected; White,81,308,24,312,24,308
93,30154-Symptoms_Resp-3,30154-Symptoms_Resp-3,30082-Race-1,Race selected; White,100,289,51,285,51,289
94,30154-Symptoms_Resp-4,30154-Symptoms_Resp-4,30082-Race-1,Race selected; White,17,372,18,318,18,372
95,30154-Symptoms_Resp-5,30154-Symptoms_Resp-5,30082-Race-1,Race selected; White,12,377,14,322,14,377
96,30154-Symptoms_Resp-6,30154-Symptoms_Resp-6,30082-Race-1,Race selected; White,27,362,26,310,26,362
97,30154-Symptoms_Resp-7,30154-Symptoms_Resp-7,30082-Race-1,Race selected; White,16,373,13,323,13,373
98,30154-Symptoms_Resp-999,30154-Symptoms_Resp-999,30082-Race-1,Race selected; White,2,387,2,334,2,387
99,30156-Symptom_GI-1,30156-Symptom_GI-1,30082-Race-1,Race selected; White,288,101,281,55,281,101
100,30156-Symptom_GI-2,30156-Symptom_GI-2,30082-Race-1,Race selected; White,55,334,25,311,25,334
101,30156-Symptom_GI-3,30156-Symptom_GI-3,30082-Race-1,Race selected; White,40,349,18,318,18,349
102,30156-Symptom_GI-4,30156-Symptom_GI-4,30082-Race-1,Race selected; White,31,358,26,310,26,358
103,30156-Symptom_GI-5,30156-Symptom_GI-5,30082-Race-1,Race selected; White,32,357,12,324,12,357
104,30156-Symptom_GI-999,30156-Symptom_GI-999,30082-Race-1,Race selected; White,2,387,2,334,2,387
105,30158-Symtpom_Neuro-1,30158-Symtpom_Neuro-1,30082-Race-1,Race selected; White,252,137,269,67,269,137
106,30158-Symtpom_Neuro-2,30158-Symtpom_Neuro-2,30082-Race-1,Race selected; White,123,266,48,288,48,266
107,30158-Symtpom_Neuro-3,30158-Symtpom_Neuro-3,30082-Race-1,Race selected; White,9,380,11,325,11,380
108,30158-Symtpom_Neuro-4,30158-Symtpom_Neuro-4,30082-Race-1,Race selected; White,2,387,1,335,1,387
109,30158-Symtpom_Neuro-5,30158-Symtpom_Neuro-5,30082-Race-1,Race selected; White,6,383,4,332,4,383
110,30158-Symtpom_Neuro-6,30158-Symtpom_Neuro-6,30082-Race-1,Race selected; White,5,384,4,332,4,384
111,30158-Symtpom_Neuro-7,30158-Symtpom_Neuro-7,30082-Race-1,Race selected; White,23,366,16,320,16,366
112,30158-Symtpom_Neuro-8,30158-Symtpom_Neuro-8,30082-Race-1,Race selected; White,15,374,16,320,16,374
113,30158-Symtpom_Neuro-9,30158-Symtpom_Neuro-9,30082-Race-1,Race selected; White,12,377,12,324,12,377
114,30158-Symtpom_Neuro-999,30158-Symtpom_Neuro-999,30082-Race-1,Race selected; White,2,387,1,335,1,387
115,30160-Symptom_Inflamm-1,30160-Symptom_Inflamm-1,30082-Race-1,Race selected; White,342,47,309,27,309,47
116,30160-Symptom_Inflamm-2,30160-Symptom_Inflamm-2,30082-Race-1,Race selected; White,31,358,17,319,17,358
117,30160-Symptom_Inflamm-3,30160-Symptom_Inflamm-3,30082-Race-1,Race selected; White,0,389,1,335,1,389
118,30160-Symptom_Inflamm-4,30160-Symptom_Inflamm-4,30082-Race-1,Race selected; White,3,386,1,335,1,386
119,30160-Symptom_Inflamm-5,30160-Symptom_Inflamm-5,30082-Race-1,Race selected; White,21,368,14,322,14,368
120,30160-Symptom_Inflamm-999,30160-Symptom_Inflamm-999,30082-Race-1,Race selected; White,2,387,1,335,1,387
121,30166-Prev_exposure-1,30166-Prev_exposure-1,30082-Race-1,Race selected; White,292,97,284,52,284,97
122,30166-Prev_exposure-2,30166-Prev_exposure-2,30082-Race-1,Race selected; White,92,297,48,288,48,297
123,30166-Prev_exposure-3,30166-Prev_exposure-3,30082-Race-1,Race selected; White,2,387,2,334,2,387
124,30166-Prev_exposure-999,30166-Prev_exposure-999,30082-Race-1,Race selected; White,5,384,3,333,3,384
125,30183-states_specify-10,30183-states_specify-10,30082-Race-1,Race selected; White,5,384,6,330,6,384
126,30183-states_specify-11,30183-states_specify-11,30082-Race-1,Race selected; White,5,384,3,333,3,384
127,30183-states_specify-14,30183-states_specify-14,30082-Race-1,Race selected; White,1,388,0,336,0,388
128,30183-states_specify-19,30183-states_specify-19,30082-Race-1,Race selected; White,1,388,0,336,0,388
129,30183-states_specify-20,30183-states_specify-20,30082-Race-1,Race selected; White,1,388,0,336,0,388
130,30183-states_specify-21,30183-states_specify-21,30082-Race-1,Race selected; White,1,388,1,335,1,388
131,30183-states_specify-23,30183-states_specify-23,30082-Race-1,Race selected; White,0,389,1,335,1,389
132,30183-states_specify-24,30183-states_specify-24,30082-Race-1,Race selected; White,1,388,0,336,0,388
133,30183-states_specify-25,30183-states_specify-25,30082-Race-1,Race selected; White,1,388,2,334,2,388
134,30183-states_specify-27,30183-states_specify-27,30082-Race-1,Race selected; White,2,387,5,331,5,387
135,30183-states_specify-28,30183-states_specify-28,30082-Race-1,Race selected; White,32,357,14,322,14,357
136,30183-states_specify-3,30183-states_specify-3,30082-Race-1,Race selected; White,3,386,0,336,0,386
137,30183-states_specify-33,30183-states_specify-33,30082-Race-1,Race selected; White,7,382,17,319,17,382
138,30183-states_specify-34,30183-states_specify-34,30082-Race-1,Race selected; White,2,387,0,336,0,387
139,30183-states_specify-38,30183-states_specify-38,30082-Race-1,Race selected; White,1,388,0,336,0,388
140,30183-states_specify-39,30183-states_specify-39,30082-Race-1,Race selected; White,4,385,3,333,3,385
141,30183-states_specify-40,30183-states_specify-40,30082-Race-1,Race selected; White,0,389,1,335,1,389
142,30183-states_specify-41,30183-states_specify-41,30082-Race-1,Race selected; White,1,388,0,336,0,388
143,30183-states_specify-42,30183-states_specify-42,30082-Race-1,Race selected; White,7,382,4,332,4,382
144,30183-states_specify-45,30183-states_specify-45,30082-Race-1,Race selected; White,0,389,2,334,2,389
145,30183-states_specify-50,30183-states_specify-50,30082-Race-1,Race selected; White,1,388,1,335,1,388
146,30183-states_specify-52,30183-states_specify-52,30082-Race-1,Race selected; White,1,388,0,336,0,388
147,30183-states_specify-6,30183-states_specify-6,30082-Race-1,Race selected; White,2,387,2,334,2,387
148,30183-states_specify-9,30183-states_specify-9,30082-Race-1,Race selected; White,2,387,8,328,8,387
149,30183-states_specify-999,30183-states_specify-999,30082-Race-1,Race selected; White,0,389,0,336,0,389
150,31344-devices_own-1,31344-devices_own-1,30082-Race-1,Race selected; White,305,55,215,97,215,55
151,31344-devices_own-2,31344-devices_own-2,30082-Race-1,Race selected; White,171,189,130,182,130,189
152,31344-devices_own-3,31344-devices_own-3,30082-Race-1,Race selected; White,334,26,275,37,275,26
153,31344-devices_own-4,31344-devices_own-4,30082-Race-1,Race selected; White,34,326,26,286,26,326
154,31344-devices_own-5,31344-devices_own-5,30082-Race-1,Race selected; White,45,315,43,269,43,315
155,31344-devices_own-999,31344-devices_own-999,30082-Race-1,Race selected; White,2,358,5,307,5,358
156,31346-past12mo_tech-1,31346-past12mo_tech-1,30082-Race-1,Race selected; White,259,101,180,132,180,101
157,31346-past12mo_tech-2,31346-past12mo_tech-2,30082-Race-1,Race selected; White,146,214,95,217,95,214
158,31346-past12mo_tech-3,31346-past12mo_tech-3,30082-Race-1,Race selected; White,146,214,98,214,98,214
159,31346-past12mo_tech-4,31346-past12mo_tech-4,30082-Race-1,Race selected; White,104,256,49,263,49,256
160,31346-past12mo_tech-5,31346-past12mo_tech-5,30082-Race-1,Race selected; White,109,251,69,243,69,251
161,31346-past12mo_tech-6,31346-past12mo_tech-6,30082-Race-1,Race selected; White,29,331,21,291,21,331
162,31346-past12mo_tech-998,31346-past12mo_tech-998,30082-Race-1,Race selected; White,45,315,66,246,66,315
163,31346-past12mo_tech-999,31346-past12mo_tech-999,30082-Race-1,Race selected; White,1,359,5,307,5,359
164,31350-healthdevice_type-1,31350-healthdevice_type-1,30082-Race-1,Race selected; White,12,348,4,308,4,348
165,31350-healthdevice_type-2,31350-healthdevice_type-2,30082-Race-1,Race selected; White,12,348,5,307,5,348
166,31350-healthdevice_type-3,31350-healthdevice_type-3,30082-Race-1,Race selected; White,4,356,1,311,1,356
167,31350-healthdevice_type-4,31350-healthdevice_type-4,30082-Race-1,Race selected; White,3,357,2,310,2,357
168,31350-healthdevice_type-5,31350-healthdevice_type-5,30082-Race-1,Race selected; White,1,359,4,308,4,359
169,31350-healthdevice_type-6,31350-healthdevice_type-6,30082-Race-1,Race selected; White,1,359,1,311,1,359
170,31350-healthdevice_type-999,31350-healthdevice_type-999,30082-Race-1,Race selected; White,1,359,0,312,0,359
171,31356-past12_recommended-1,31356-past12_recommended-1,30082-Race-1,Race selected; White,249,111,159,153,159,111
172,31356-past12_recommended-2,31356-past12_recommended-2,30082-Race-1,Race selected; White,174,186,92,220,92,186
173,31356-past12_recommended-3,31356-past12_recommended-3,30082-Race-1,Race selected; White,88,272,69,243,69,272
174,31356-past12_recommended-4,31356-past12_recommended-4,30082-Race-1,Race selected; White,169,191,116,196,116,191
175,31356-past12_recommended-998,31356-past12_recommended-998,30082-Race-1,Race selected; White,41,319,63,249,63,319
176,31356-past12_recommended-999,31356-past12_recommended-999,30082-Race-1,Race selected; White,4,356,9,303,9,356
177,31386-covid_results-1,31386-covid_results-1,30082-Race-1,Race selected; White,21,339,13,299,13,339
178,31386-covid_results-2,31386-covid_results-2,30082-Race-1,Race selected; White,342,18,292,20,292,18
179,31386-covid_results-3,31386-covid_results-3,30082-Race-1,Race selected; White,2,358,3,309,3,358
180,31386-covid_results-4,31386-covid_results-4,30082-Race-1,Race selected; White,0,360,0,312,0,360
181,31386-covid_results-5,31386-covid_results-5,30082-Race-1,Race selected; White,2,358,9,303,9,358
182,31386-covid_results-999,31386-covid_results-999,30082-Race-1,Race selected; White,0,360,4,308,4,360
183,31393-join_why-1,31393-join_why-1,30082-Race-1,Race selected; White,160,200,185,127,185,200
184,31393-join_why-2,31393-join_why-2,30082-Race-1,Race selected; White,272,88,193,119,193,88
185,31393-join_why-3,31393-join_why-3,30082-Race-1,Race selected; White,200,160,166,146,166,160
186,31393-join_why-4,31393-join_why-4,30082-Race-1,Race selected; White,115,245,114,198,114,245
187,31393-join_why-5,31393-join_why-5,30082-Race-1,Race selected; White,221,139,147,165,147,139
188,31393-join_why-6,31393-join_why-6,30082-Race-1,Race selected; White,148,212,146,166,146,212
189,31393-join_why-7,31393-join_why-7,30082-Race-1,Race selected; White,4,356,7,305,7,356
190,31393-join_why-8,31393-join_why-8,30082-Race-1,Race selected; White,0,360,0,312,0,360
191,31393-join_why-9,31393-join_why-9,30082-Race-1,Race selected; White,6,354,4,308,4,354
192,31393-join_why-999,31393-join_why-999,30082-Race-1,Race selected; White,1,359,0,312,0,359
193,31396-join_hear-1,31396-join_hear-1,30082-Race-1,Race selected; White,124,236,90,222,90,236
194,31396-join_hear-2,31396-join_hear-2,30082-Race-1,Race selected; White,172,188,138,174,138,188
195,31396-join_hear-3,31396-join_hear-3,30082-Race-1,Race selected; White,21,339,17,295,17,339
196,31396-join_hear-4,31396-join_hear-4,30082-Race-1,Race selected; White,2,358,14,298,14,358
197,31396-join_hear-5,31396-join_hear-5,30082-Race-1,Race selected; White,8,352,8,304,8,352
198,31396-join_hear-6,31396-join_hear-6,30082-Race-1,Race selected; White,71,289,63,249,63,289
199,31396-join_hear-7,31396-join_hear-7,30082-Race-1,Race selected; White,11,349,24,288,24,349
200,31396-join_hear-999,31396-join_hear-999,30082-Race-1,Race selected; White,0,360,1,311,1,360
201,31405-skipped_why-1,31405-skipped_why-1,30082-Race-1,Race selected; White,0,360,10,302,10,360
202,31405-skipped_why-2,31405-skipped_why-2,30082-Race-1,Race selected; White,14,346,8,304,8,346
203,31405-skipped_why-3,31405-skipped_why-3,30082-Race-1,Race selected; White,7,353,8,304,8,353
204,31405-skipped_why-4,31405-skipped_why-4,30082-Race-1,Race selected; White,333,27,281,31,281,27
205,31405-skipped_why-5,31405-skipped_why-5,30082-Race-1,Race selected; White,6,354,6,306,6,354
206,32138-vaccine_factors-1,32138-vaccine_factors-1,30082-Race-1,Race selected; White,4,401,9,369,9,401
207,32138-vaccine_factors-10,32138-vaccine_factors-10,30082-Race-1,Race selected; White,7,398,5,373,5,398
208,32138-vaccine_factors-11,32138-vaccine_factors-11,30082-Race-1,Race selected; White,9,396,24,354,24,396
209,32138-vaccine_factors-12,32138-vaccine_factors-12,30082-Race-1,Race selected; White,5,400,7,371,7,400
210,32138-vaccine_factors-13,32138-vaccine_factors-13,30082-Race-1,Race selected; White,5,400,12,366,12,400
211,32138-vaccine_factors-14,32138-vaccine_factors-14,30082-Race-1,Race selected; White,1,404,3,375,3,404
212,32138-vaccine_factors-15,32138-vaccine_factors-15,30082-Race-1,Race selected; White,1,404,2,376,2,404
213,32138-vaccine_factors-16,32138-vaccine_factors-16,30082-Race-1,Race selected; White,2,403,4,374,4,403
214,32138-vaccine_factors-17,32138-vaccine_factors-17,30082-Race-1,Race selected; White,9,396,12,366,12,396
215,32138-vaccine_factors-18,32138-vaccine_factors-18,30082-Race-1,Race selected; White,4,401,2,376,2,401
216,32138-vaccine_factors-2,32138-vaccine_factors-2,30082-Race-1,Race selected; White,4,401,4,374,4,401
217,32138-vaccine_factors-3,32138-vaccine_factors-3,30082-Race-1,Race selected; White,2,403,8,370,8,403
218,32138-vaccine_factors-4,32138-vaccine_factors-4,30082-Race-1,Race selected; White,14,391,44,334,44,391
219,32138-vaccine_factors-5,32138-vaccine_factors-5,30082-Race-1,Race selected; White,0,405,3,375,3,405
220,32138-vaccine_factors-6,32138-vaccine_factors-6,30082-Race-1,Race selected; White,0,405,2,376,2,405
221,32138-vaccine_factors-7,32138-vaccine_factors-7,30082-Race-1,Race selected; White,1,404,3,375,3,404
222,32138-vaccine_factors-8,32138-vaccine_factors-8,30082-Race-1,Race selected; White,15,390,27,351,27,390
223,32138-vaccine_factors-9,32138-vaccine_factors-9,30082-Race-1,Race selected; White,4,401,5,373,5,401
224,32138-vaccine_factors-999,32138-vaccine_factors-999,30082-Race-1,Race selected; White,3,402,4,374,4,402
225,32144-DOB_pnta,32144-DOB_pnta,30082-Race-1,Race selected; White,8,397,9,369,9,397
226,32588-Symptoms_Ill_1,32588-Symptoms_Ill_1,30082-Race-1,Race selected; White,5,384,8,328,8,384
227,32589-Symptoms_Ill_2,32589-Symptoms_Ill_2,30082-Race-1,Race selected; White,0,389,0,336,0,389
228,32590-Symptoms_Ill_3,32590-Symptoms_Ill_3,30082-Race-1,Race selected; White,12,377,12,324,12,377
229,32591-Symptoms_Ill_4,32591-Symptoms_Ill_4,30082-Race-1,Race selected; White,4,385,3,333,3,385
230,32592-Symptoms_Ill_5,32592-Symptoms_Ill_5,30082-Race-1,Race selected; White,19,370,8,328,8,370
231,32593-Symptoms_Ill_6,32593-Symptoms_Ill_6,30082-Race-1,Race selected; White,53,336,27,309,27,336
232,32594-Symptoms_Ill_7,32594-Symptoms_Ill_7,30082-Race-1,Race selected; White,29,360,14,322,14,360
233,32595-Symptoms_Ill_8,32595-Symptoms_Ill_8,30082-Race-1,Race selected; White,12,377,8,328,8,377
234,32596-Symptoms_Ill_9,32596-Symptoms_Ill_9,30082-Race-1,Race selected; White,9,380,6,330,6,380
235,32597-Symptoms_Ill_10,32597-Symptoms_Ill_10,30082-Race-1,Race selected; White,60,329,29,307,29,329
236,32598-Symptoms_Ill_11,32598-Symptoms_Ill_11,30082-Race-1,Race selected; White,25,364,9,327,9,364
237,32599-Symptoms_Ill_12,32599-Symptoms_Ill_12,30082-Race-1,Race selected; White,71,318,37,299,37,318
238,32600-Symptoms_Ill_13,32600-Symptoms_Ill_13,30082-Race-1,Race selected; White,14,375,7,329,7,375
239,32601-Symptoms_Ill_14,32601-Symptoms_Ill_14,30082-Race-1,Race selected; White,3,386,6,330,6,386
240,32602-Symptoms_Ill_15,32602-Symptoms_Ill_15,30082-Race-1,Race selected; White,7,382,6,330,6,382
241,32603-Symptoms_Ill_16,32603-Symptoms_Ill_16,30082-Race-1,Race selected; White,10,379,8,328,8,379
242,32604-Symptoms_Ill_17,32604-Symptoms_Ill_17,30082-Race-1,Race selected; White,22,367,14,322,14,367
243,32605-Symptoms_Ill_18,32605-Symptoms_Ill_18,30082-Race-1,Race selected; White,3,386,2,334,2,386
244,32606-Symptoms_Ill_19,32606-Symptoms_Ill_19,30082-Race-1,Race selected; White,1,388,1,335,1,388
245,32607-Symptoms_Ill_20,32607-Symptoms_Ill_20,30082-Race-1,Race selected; White,0,389,0,336,0,389
246,32608-Symptoms_Ill_21,32608-Symptoms_Ill_21,30082-Race-1,Race selected; White,62,327,33,303,33,327
247,32609-Symptoms_Ill_22,32609-Symptoms_Ill_22,30082-Race-1,Race selected; White,0,389,0,336,0,389
248,32610-Symptoms_Ill_23,32610-Symptoms_Ill_23,30082-Race-1,Race selected; White,17,372,11,325,11,372
249,32611-Symptoms_Ill_24,32611-Symptoms_Ill_24,30082-Race-1,Race selected; White,1,388,1,335,1,388
250,32612-Symptoms_Ill_25,32612-Symptoms_Ill_25,30082-Race-1,Race selected; White,56,333,15,321,15,333
251,32613-Symptoms_Ill_26,32613-Symptoms_Ill_26,30082-Race-1,Race selected; White,15,374,11,325,11,374
